#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit
01a58582o0229o,115.957272174,56.71729,>20.04,0,3,o,22.226,58582.3227005,2179.15,9674.49,192,180.6,-3.7,8.5,182.8,1472.9,610.2,0.85,3.07,2.86,1,3,-0.428
01a58582o0252o,115.957272174,56.71729,None,None,None,o,22.222,58582.3334813,None,None,None,None,None,None,None,None,None,None,None,None,1,3,-0.4275
01a58582o0262o,115.957272174,56.71729,20.75,0.72,1.06,o,22.22,58582.3381356,2203.29,9714.27,197,180.5,7.6,7.2,178.5,-3601.4,619.1,1.13,3.48,3.01,1,3,-0.402
01a58582o0269o,115.957272174,56.71729,>20.11,0,3,o,22.219,58582.3413887,2138.27,9634.67,173,179.7,-1.7,7.8,179.1,1204.6,697.2,1.08,3.13,2.86,1,3,-0.425
01a58590o0172o,115.957272174,56.71729,>19.22,0,3,o,22.231,58590.309477,9012.75,3687.87,237,176.8,-17,13.5,174.7,-1573,1099,1.24,3.64,3.26,1,3,-0.421
01a58590o0190o,115.957272174,56.71729,>19.27,0,3,o,22.23,58590.3178563,9036.29,3727.19,141,171,-15.9,15.9,173.6,872,1583.2,1.02,3.37,2.86,1,3,-0.421
01a58590o0203o,115.957272174,56.71729,>19.05,0,3,o,22.238,58590.3239056,98.09,3756.96,183,180.5,-15.1,19.3,186.4,1314.6,1750.2,0.87,3.27,2.99,1,3,-0.432
01a58590o0207o,115.957272174,56.71729,19.61,0.57,1.45,o,22.225,58590.3258314,8982.42,3658.14,208,175.7,22.7,15.7,179.2,3210.5,1327.1,1.22,3.3,3.01,1,3,-0.431
01a58590o0221o,115.957272174,56.71729,>19.07,0,3,o,22.234,58590.3323856,122.54,3795.72,256,203.3,11.3,18.2,206,2241.5,1762.4,1.08,3.37,3,1,3,-0.422
01a58590o0227o,115.957272174,56.71729,>19.3,0,3,o,22.222,58590.3352798,8963.25,3776.2,176,168.2,-15.8,15.7,174.6,1458.1,1606.9,1.22,3.17,2.96,1,3,-0.435
01a58590o0245o,115.957272174,56.71729,19.22,0.7,1.11,o,22.23,58590.3436374,68.53,3714.95,253,191.7,36.1,32.6,206.6,6839.6,3069.7,0.65,3.09,2.87,1,3,-0.438
01a58590o0261o,115.957272174,56.71729,>18.62,0,3,o,22.226,58590.3511963,49.78,3827.3,241,207.9,-4.8,31.1,232.2,18132.7,2800.9,1.08,2.98,2.98,1,3,-0.442
01a58594o0158o,115.957272174,56.71729,>19.54,0,3,o,22.241,58594.2930721,4864.74,1921,154,178.6,0.9,13.9,177.8,-225.6,1121.6,1.11,3.1,2.79,1,3,-0.428
01a58594o0177o,115.957272174,56.71729,>19.58,0,3,o,22.238,58594.3019614,4887.75,1959.89,155,178,-19.6,14.8,180.8,722.7,1032.1,0.86,2.93,2.67,1,3,-0.441
