#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit
02a58656o0573o,325.887236127,43.5495187324,>20.16,0.0,3.0,o,22.196,58656.5079953,4201.67,4145.98,150.0,180.3,-18.4,13.8,184.7,763.3,845.5,2.0,2.33,2.02,1.0,3.0,-0.452
02a58656o0584o,325.887236127,43.5495187324,>20.09,0.0,3.0,o,22.195,58656.5134,4145.9,4069.16,136.0,177.7,6.9,14.8,167.7,-2600.4,842.3,1.28,2.38,1.98,1.0,3.0,-0.434
02a58656o0605o,325.887236127,43.5495187324,20.27,0.48,1.8,o,22.18,58656.5234351,4133.04,4187.74,221.0,180.1,24.0,13.3,173.5,-1227.0,721.2,2.08,2.35,2.04,1.0,3.0,-0.453
01a58658o0509o,325.887236127,43.5495187324,>19.87,0.0,3.0,o,22.072,58658.4716884,8302.35,6356.23,200.0,184.7,-22.1,8.0,183.2,146.6,732.2,1.75,3.22,2.96,1.0,3.0,-0.425
01a58658o0516o,325.887236127,43.5495187324,19.71,0.41,2.2,o,22.118,58658.4750234,8282.9,6316.33,221.0,187.5,19.6,8.9,187.9,863.6,814.8,1.51,3.19,2.97,1.0,3.0,-0.429
01a58658o0531o,325.887236127,43.5495187324,>20.0,0.0,3.0,o,22.148,58658.4821732,8341.93,6395.21,211.0,184.8,-19.7,8.1,189.8,2998.8,657.3,1.59,3.13,2.86,1.0,3.0,-0.438
01a58658o0554o,325.887236127,43.5495187324,>19.39,0.0,3.0,o,21.934,58658.4930119,8362.36,6279.19,167.0,157.9,-3.9,11.4,159.3,1135.5,974.9,1.24,3.14,2.92,1.0,3.0,-0.433
01a58662o0355o,325.887236127,43.5495187324,20.36,0.47,1.83,o,22.261,58662.5488268,8298.67,6358.42,187.0,180.7,14.1,7.7,174.5,-1579.4,613.6,1.79,2.93,2.75,1.0,3.0,-0.457
01a58662o0362o,325.887236127,43.5495187324,>20.28,0.0,3.0,o,22.259,58662.5521392,8278.55,6318.98,119.0,181.0,-20.8,7.4,179.6,-479.2,535.8,1.74,2.89,2.89,1.0,3.0,-0.452
01a58662o0375o,325.887236127,43.5495187324,20.59,0.57,1.43,o,22.233,58662.5583856,8337.99,6396.71,151.0,180.1,10.6,7.4,174.8,-938.4,626.9,2.71,3.03,2.81,1.0,3.0,-0.452
01a58662o0408o,325.887236127,43.5495187324,>20.2,0.0,3.0,o,22.237,58662.5762573,8353.65,6281.35,190.0,180.8,1.7,8.2,176.9,-806.0,547.6,1.35,2.94,2.71,1.0,3.0,-0.455
02a58664o0623c,325.887236127,43.5495187324,>20.67,0.0,3.0,c,22.322,58664.5310767,6348.86,9936.48,179.0,182.2,-1.5,7.4,181.3,506.2,438.6,1.79,2.62,2.37,1.0,3.0,-0.431
02a58664o0629c,325.887236127,43.5495187324,>20.67,0.0,3.0,c,22.322,58664.5338294,6369.29,9977.23,198.0,181.1,6.0,7.5,180.0,-89.3,473.2,1.29,2.61,2.35,1.0,3.0,-0.432
02a58664o0651c,325.887236127,43.5495187324,>20.71,0.0,3.0,c,22.322,58664.5443355,6307.79,9906.19,182.0,181.9,7.1,7.1,179.9,-765.8,434.2,1.65,2.6,2.38,1.0,3.0,-0.43
02a58664o0675c,325.887236127,43.5495187324,>20.61,0.0,3.0,c,22.323,58664.5557279,6289.13,10020.8,152.0,181.0,-11.0,7.5,179.3,-506.9,473.8,1.19,2.68,2.41,1.0,3.0,-0.428
02a58664o0827c,325.887236127,43.5495187324,>18.22,0.0,3.0,c,22.37,58664.628067,4261.75,612.81,476.0,317.4,2.4,73.3,358.1,15711.3,4710.5,0.88,2.63,2.38,1.0,3.0,-0.451
02a58668o0405c,325.887236127,43.5495187324,>20.55,0.0,3.0,c,22.291,58668.4294393,9275.72,6270.28,152.0,180.4,7.9,8.2,178.2,-203.3,508.4,1.18,2.59,2.33,1.0,3.0,-0.423
02a58668o0412c,325.887236127,43.5495187324,21.22,0.67,1.18,c,22.293,58668.4326886,9295.19,6309.72,191.0,178.9,9.3,7.9,178.7,905.5,593.1,1.24,2.54,2.31,1.0,3.0,-0.426
02a58668o0427c,325.887236127,43.5495187324,>20.64,0.0,3.0,c,22.295,58668.4397218,9235.78,6233.41,157.0,180.2,-8.9,7.7,178.2,534.9,518.4,1.1,2.56,2.34,1.0,3.0,-0.426
02a58668o0448c,325.887236127,43.5495187324,>20.68,0.0,3.0,c,22.304,58668.4495668,9212.81,6349.6,165.0,181.3,-18.8,7.9,182.6,376.3,457.2,1.88,2.5,2.27,1.0,3.0,-0.429
01a58669o0180o,325.887236127,43.5495187324,20.67,0.59,1.37,o,22.234,58669.5569863,8171.72,7964.36,175.0,180.6,9.6,7.0,178.9,189.9,579.3,1.66,3.07,2.86,1.0,3.0,-0.441
